state,placefp,cbsa,stab,placenm,pop2k,popinmsa,msamdivname,countynumeric,place,cbd_retail_long,cbd_retail_lat,arcgis_match,arcgis_long,arcgis_lat
48,1000,10180,TX,Abilene city,115930,115930,"Abilene, TX Metropolitan Statistical Area",441,Abilene,-99.733101,32.448601,M,-99.741421,32.449173
39,1000,10420,OH,Akron city,217074,217074,"Akron, OH Metropolitan Statistical Area",153,Akron,-81.518898,41.0811,M,-81.51406,41.084191
13,1052,10500,GA,Albany city,76939,76939,"Albany, GA Metropolitan Statistical Area",95,Albany,-84.151604,31.5786,M,-84.15601,31.580764
36,1000,10580,NY,Albany city,95658,95658,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",1,Albany,-73.750999,42.6525,M,-73.755248,42.651441
35,2000,10740,NM,Albuquerque city,448607,448607,"Albuquerque, NM Metropolitan Statistical Area",1,Albuquerque,-106.65,35.085602,M,-106.648641,35.084184
22,975,10780,LA,Alexandria city,46342,46342,"Alexandria, LA Metropolitan Statistical Area",79,Alexandria,-92.444702,31.311001,M,-92.44564699999999,31.312681
42,2000,10900,PA,Allentown city,106632,106632,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",77,Allentown,-75.4729,40.602001,M,-75.47019899999999,40.602571
42,2184,11020,PA,Altoona city,49523,49523,"Altoona, PA Metropolitan Statistical Area",13,Altoona,-78.402199,40.516602,M,-78.3989,40.507192
48,3000,11100,TX,Amarillo city,173627,173627,"Amarillo, TX Metropolitan Statistical Area",375,Amarillo,-101.837,35.207401,M,-101.833891,35.207251
19,1855,11180,IA,Ames city,50731,50731,"Ames, IA Metropolitan Statistical Area",169,Ames,,,M,-93.6202,42.025342
2,3000,11260,AK,Anchorage municipality,260283,260283,"Anchorage, AK Metropolitan Statistical Area",20,Anchorage,,,M,-149.858379,61.217546
18,1468,11300,IN,Anderson city,59734,59734,"Anderson, IN Metropolitan Statistical Area",95,Anderson,-85.677002,40.1054,M,-85.678691,40.102162
45,1360,11340,SC,Anderson city,25514,25514,"Anderson, SC Metropolitan Statistical Area",7,Anderson,-82.650398,34.504799,M,-82.64957800000001,34.500444
26,3000,11460,MI,Ann Arbor city,114024,114024,"Ann Arbor, MI Metropolitan Statistical Area",161,Ann Arbor,-83.745903,42.280201,M,-83.74847699999999,42.281871
1,1852,11500,AL,Anniston city,24276,24276,"Anniston-Oxford, AL Metropolitan Statistical Area",15,Anniston,-85.8302,33.657902,M,-85.819447,33.657113
55,2375,11540,WI,Appleton city,69275,68443.695,"Appleton, WI Metropolitan Statistical Area",87,Appleton,-88.409599,44.261902,M,-88.416558,44.261783
37,2140,11700,NC,Asheville city,68889,68889,"Asheville, NC Metropolitan Statistical Area",21,Asheville,-82.5532,35.5951,M,-82.55313700000001,35.598463
13,3440,12020,GA,Athens-Clarke County (balance),100266,100266,"Athens-Clarke County, GA Metropolitan Statistical Area",59,Athens,-83.3731,33.959499,M,-83.373248,33.958134
13,4000,12060,GA,Atlanta city,416474,416474,"Atlanta-Sandy Springs-Marietta, GA Metropolitan Statistical Area",121,Atlanta,-84.389099,33.756199,M,-84.39111,33.748313
34,2080,12100,NJ,Atlantic City city,40517,40517,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1,Atlantic City,-74.429901,39.361401,M,-74.42652,39.362813
1,3076,12220,AL,Auburn city,42987,42987,"Auburn-Opelika, AL Metropolitan Statistical Area",81,Auburn,,,M,-85.481731,32.607464
13,4204,12260,GA,Augusta-Richmond County (balance),195182,195182,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",245,Augusta,-81.965797,33.475899,M,-81.97530999999999,33.479092
48,5000,12420,TX,Austin city,656562,656562,"Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area",453,Austin,,,M,-97.74297900000001,30.267602
6,3526,12540,CA,Bakersfield city,247057,247057,"Bakersfield-Delano, CA Metropolitan Statistical Area",29,Bakersfield,-119.019,35.377701,M,-119.018858,35.366964
